Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
European bison,Poland,930.0,335.0,male,,52.828845,23.820144,Szefu,2024-03-01,Anne Anthony
European bison,Poland,909.0,311.0,not determined,,52.830509,23.826849,,2024-03-01,Anne Anthony
European bison™,Poland,581.0,277.0,female,,52.834109,23.807093,,2024-03-01,Anne Anthony
European bisson,Poland,900.0,295.0,male,,52.834759,23.817201,,2024-03-01,Anne Anthony
European buster,Poland,620.0,250.0,female,,52.83496,23.82075,,2024-03-01,Anne Anthony
lynx,Hungary,24.0,76.0,male,,48.505494,20.551966,,2024-03-01,Anne Anthony
lynx?,Hungary,23.0,82.0,female,,48.506529,20.554548,,2024-03-01,Anne Anthony
red squirel,Poland,0.308,22.0,female,,52.241273,21.055745,Basia,2024-03-01,Anne Anthony
red squirrel,PL,0.348,20.0,female,,52.24206,21.057802,,2024-03-01,Anne Anthony
red squirrel,Poland,0.316,20.0,male,,52.240035,21.056188,Lolek,2024-03-01,Anne Anthony
red squirrel,Poland,0.34,21.0,,,52.240284,21.051948,,2024-03-01,Anne Anthony
red squirrel,Poland,0.333,21.0,male,,,,,2024-03-01,Anne Anthony
red squirrel,Poland,0.265,19.0,female,,52.24056,21.055899,,2024-03-01,Anne Anthony
red squirrel,Poland,,,male,,52.241177,21.052873,,2024-03-01,Anne Anthony
red squirrel,PL,0.261,22.0,female,,52.240833,21.052093,,2024-03-01,Anne Anthony
red squirrel,Poland,0.317,23.0,male,,52.241358,21.056352,,2024-03-01,Anne Anthony
red squirrel,Poland,0.328,21.0,male,,52.241905,21.050727,,2024-03-01,Anne Anthony
red squirrel,Hungary,0.305,21.0,male,,47.511401,18.949119,,2024-03-01,Anne Anthony
red squirrell,Poland,0.328,23.0,male,,52.24192,21.056347,,2024-03-01,Anne Anthony
red squirrel,Germany,0.294,19.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.25,19.0,female,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.262,21.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.267,21.0,female,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.269,22.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.308,22.0,female,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.308,19.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.27,20.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.32,20.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.262,20.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.256,21.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.245,22.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.292,19.0,male,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.289,19.0,female,,,,,2024-03-01,Bob Bobson
red squirrel,Germany,0.308,22.0,male,,,,,2024-03-01,Bob Bobson
European bison,Slovakia,420.0,182.0,male,,49.054684,22.417189,,2024-03-01,John Johnson
European bison,Slovakia,511.0,266.0,female,,49.053629,22.421831,,2024-03-01,John Johnson
European bison,Slovakia,814.0,288.0,male,,49.053489,22.415229,,2024-03-01,John Johnson
European bison,Slovakia,130.0,141.0,female,,49.054166,22.422852,,2024-03-01,John Johnson
European bison,Slovakia,390.0,180.0,female,,49.052731,22.422675,,2024-03-01,John Johnson
European bison,Slovakia,355.0,179.0,male,,49.055974,22.415985,,2024-03-01,John Johnson
European bison,Slovakia,566.0,272.0,female,,49.053342,22.423867,,2024-03-01,John Johnson
European bison,Slovakia,393.0,152.0,not determined,,49.056471,22.422475,,2024-03-01,John Johnson
European bison™,Czech Republic,823.0,286.0,male,,50.636564,14.834553,,2024-03-01,John Johnson
European bison™,Slovakia,695.0,316.0,male,,49.055537,22.419428,,2024-03-01,John Johnson
hedgehog,Czech Republic,0.6,20.0,female,,50.636869,14.844555,,2024-03-01,John Johnson
hedgehog,Czech Republic,0.6,-16.0,male,,50.644733,14.835753,,2024-03-01,John Johnson
hedgehog,Czech Republic,1.2,31.0,male,,50.635766,14.844247,,2024-03-01,John Johnson
red squirrel,Slovakia,0.275,23.0,male,,48.185353,17.08322,,2024-03-01,John Johnson
wedgehod,Czech Republic,0.9,22.0,male,,50.642843,14.84124,,2024-03-01,John Johnson
red squirel,Poland,0.308,22.0,female,,52.241273,21.055745,Basia,2024-03-01,Anne Anthony
red squirrel,PL,0.348,20.0,female,,52.24206,21.057802,,2024-03-01,Anne Anthony
red squirrel,Poland,0.316,20.0,male,,52.240035,21.056188,Lolek,2024-03-01,Anne Anthony
red squirrel,Poland,0.34,21.0,,,52.240284,21.051948,,2024-03-01,Anne Anthony
red squirrel,Poland,0.333,21.0,male,,,,,2024-03-01,Anne Anthony
red squirrel,Poland,0.265,19.0,female,,52.24056,21.055899,,2024-03-01,Anne Anthony
red squirrel,Poland,,,male,,52.241177,21.052873,,2024-03-01,Anne Anthony
red squirrel,PL,0.261,22.0,female,,52.240833,21.052093,,2024-03-01,Anne Anthony
red squirrel,Poland,0.317,23.0,male,,52.241358,21.056352,,2024-03-01,Anne Anthony
red squirrel,Poland,0.328,21.0,male,,52.241905,21.050727,,2024-03-01,Anne Anthony
red squirrel,Hungary,0.305,21.0,male,,47.511401,18.949119,,2024-03-01,Anne Anthony
red squirrell,Poland,0.328,23.0,male,,52.24192,21.056347,,2024-03-01,Anne Anthony
